Identifier,APA Citation,Title,Orientation,Primary Pattern(s) / Pathway(s),Domain Categories,Pipeline Stage,Pipeline Sub-stage,Historical Era,Triange coverage (AI + data production + community impacts),Rationale,Source type,How source was found,Keywords,Geographic region of focus,"Author affiliations (majority grouping if multiple, full details in note on positionality)",Geographic area of author (lead author if multiple),"Institution / Country
(lead author)",Authorship & positionality context,Summary,Additional Notes
"Abazajian, 2021","Mozilla Insights, & Abazajian, K. (2021). (rep.). What Helps? Understanding Needs and the Ecosystem for Support. Mozilla. Retrieved from https://foundation.mozilla.org/en/data-futures-lab/data-for-empowerment/what-helps-the-ecosystem-for-needs-and-support/",What Helps? | Understanding Needs and the Ecosystem for Support,Principles less-extractive,Participatory data ownership & governance,Data practices,Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 2,ADC,A: examines experiments in data-governance models; D: analyzes participatory ownership and user control mechanisms; C: stresses community agency and collective benefit via support orgs,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,"alternative data governance, user control, Mozilla, supporting entities, collective benefit",Not regionally specific,NGO/Non-profit,North America,"Mozilla Foundation, Houston, Texas
USA",,"Maps organizations enabling alternative data governance (co-ops, trusts, intermediaries). Identifies needs around communication, funding, and safe experimentation. Argues governance should prioritize user control and collective benefit, guiding technologists toward less-extractive data ecosystems aligned with community interests.",
"Abbass et al., 2022","Abbass, H. A., Petraki, E., & Hunjet, R. (2022). JSwarm: A Jingulu-Inspired Human-AI-Teaming Language for Context-Aware Swarm Guidance. Frontiers in Physics, 10. https://doi.org/10.3389/fphy.2022.944064 
",JSwarm: A Jingulu-Inspired Human-AI-Teaming Language for Context-Aware Swarm Guidance,Principles less-extractive,Decentering Western ontologies,Data practices,ML System Design & Development,Model Architecture Selection & Design,Era 3,ADC,A: develops a new communication language for human–AI teaming; D: designs language structure informed by computational and linguistic principles; C: draws on Jingulu to decenter Western epistemologies and situate AI design in Indigenous knowledge.,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,Australia; Jingulu; swarm guidance; communication,Oceania,Academic,Oceania,"School of Engineering and IT, University of New South Wales, Canberra, NSW, Australia","Faculty of Education, University of Canberra, Canberra, Australia; Defence Science and Technology Group, Canberra, Australia","Proposes JSwarm, a human–AI teaming language inspired by Jingulu, an Australian Aboriginal language. Specifies criteria for bi-directional communication in swarm systems and explores design grounded in Indigenous knowledge. Positions linguistic diversity as an alternative to Western-centric system design for AI teaming.",
"Abdul-Mageed et al., 2021","Abdul-Mageed, M., Elmadany, A., & Nagoudi, E. M. B. (2021). ARBERT & MARBERT: Deep Bidirectional Transformers for Arabic. In C. Zong, F. Xia, W. Li, & R. Navigli (Eds.), Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers) (pp. 7088–7105). Association for Computational Linguistics. https://doi.org/10.18653/v1/2021.acl-long.551 
",ARBERT & MARBERT: Deep Bidirectional Transformers for Arabic,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,Model Architecture Selection & Design,Era 3,ADC,A: develops new Arabic transformer models; D: constructs ARLUE benchmark from diverse datasets; C: expands linguistic resources and access for Arabic-speaking communities,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","MENA, Arabic NLP, transformers, benchmark",MENA,Academic,North America,"University of British Columbia, Canada","Natural Language Processing Lab, University of British Columbia, Canada; Muhammad Abdul-Mageed†; AbdelRahim Elmadany†; El Moatez Billah Nagoudi† [Equal contributions]","Introduces ARBERT and MARBERT, two deep transformers for Arabic and dialects. Builds ARLUE benchmark covering 42 datasets to evaluate performance. Achieves state-of-the-art results and fills major inclusivity gap in NLP for Arabic speakers. Demonstrates how model and benchmark development expand linguistic access and representation.",
"Abebe et al., 2021","Abebe, R., Aruleba, K., Birhane, A., Kingsley, S., Obaido, G., Remy, S. L., & Sadagopan, S. (2021). Narratives and Counternarratives on Data Sharing in Africa. Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency, 329–341. https://doi.org/10.1145/3442188.3445897",Narratives and Counternarratives on Data Sharing in Africa,Extractive,Soliciting data without reciprocal benefits,"Community impacts and relations, Critical theory/Historical background",Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: discusses implications of data sharing for ML and data science systems; D: analyzes practices of data access and governance in Africa; C: centers African perspectives on inequities and trust in data ecosystems,"White (published journal papers, conference proceedings, books)",Database search,"Africa, data sharing, counternarratives, colonial legacies, trust",Africa,Academic,North America,"University of California, Berkeley, USA","University of California, Berkeley, USA; University of the Witwatersrand, South Africa; University College Dublin & Lero, Ireland; Carnegie Mellon University, USA; IBM Research – Africa, Kenya; Deloitte, USA","Uses expert interviews and personas to show how deficit narratives justify extractive data sharing. Provides counternarratives highlighting expertise, mistrust rooted in colonial legacies, and lack of benefit-sharing. Points to equitable governance pathways that respect local control and redistribute value.",
"Abena AI, n.d.","Abena AI. (n.d.). Abena AI - African Language TTS, ASR & Translation. Retrieved September 7, 2025, from https://abena.mobobi.com/","Abena AI - African Language TTS, ASR & Translation",Practices less-extractive,"Creating culturally inclusive datasets, Community engaged data production, Crowdsourcing data collection",Community impacts and relations,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: provides African language speech and translation systems; D: uses crowdsourcing and community-engaged data collection; C: addresses access and inclusion for African language speakers,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences","African languages, TTS, ASR, translation, community data production",Africa,Mixed,Africa,"Abena AI, Ghana",,"Describes a suite of privacy-first, offline-capable speech and translation tools for African languages. Emphasizes crowdsourced and community-engaged data pipelines to expand linguistic coverage beyond dominant languages. Positions local data production and governance as prerequisites for inclusive speech technologies that reduce dependence on external, unrepresentative corpora.",
"Abraham et al., 2020","Abraham, B., Goel, D., Siddarth, D., Bali, K., Chopra, M., Choudhury, M., Joshi, P., Jyoti, P., Sitaram, S., & Seshadri, V. (2020). Crowdsourcing Speech Data for Low-Resource Languages from Low-Income Workers. In N. Calzolari, F. Béchet, P. Blache, K. Choukri, C. Cieri, T. Declerck, S. Goggi, H. Isahara, B. Maegaard, J. Mariani, H. Mazo, A. Moreno, J. Odijk, & S. Piperidis (Eds.), Proceedings of the Twelfth Language Resources and Evaluation Conference (pp. 2819–2826). European Language Resources Association. https://aclanthology.org/2020.lrec-1.343/",Crowdsourcing Speech Data for Low-Resource Languages from Low-Income Workers,Practices less-extractive,Crowdsourcing data collection,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: expands speech resources for low-resource languages; D: tests crowdsourcing quality vs. student labor; C: engages low-income rural and urban workers,"White (published journal papers, conference proceedings, books)",Database search,"India, speech data, crowdsourcing",APAC (Asia-Pacific Region),Industry,APAC (Asia-Pacific Region),"Microsoft India Development Center, India","Microsoft Research India; IIT Bombay, India","Collects a 109-hour Marathi corpus from workers and students, showing comparable quality and feasibility of paid crowd speech collection. Demonstrates that recruiting underrepresented speakers broadens linguistic coverage and provides supplemental earnings. Links inclusive data sourcing to more representative models and practical pathways for scaling low-resource speech technologies in India.",
"Ada Lovelace Institute, 2021",Ada Lovelace Institute. (2021). Participatory data stewardship: A framework for involving people in the use of data. https://www.adalovelaceinstitute.org/report/participatory-data-stewardship/,Participatory data stewardship: A framework for involving people in the use of data,Principles less-extractive,Participatory data ownership & governance,Ethics frameworks,Problem Understanding & Formulation,Institutional Prioritization & Funding,Multi-era,ADC,A: proposes stewardship approaches applicable to AI data use; D: outlines participatory governance mechanisms and accountability; C: centers beneficiaries and impacted groups in decision-making,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Iterative keyword search,data stewardship; governance; transparency,Not regionally specific,NGO/Non-profit,EU/UK,"Independent research institute based in London, UK",,"Advocates for a new approach to data governance called participatory data stewardship, emphasizing that beneficiaries, including data subjects and those indirectly impacted by data use, should be involved in the design, development, and deployment of data governance frameworks to ensure fairness, equity, and societal benefit.",
"Adelani et al., 2021","Adelani, D. I., Abbott, J., Neubig, G., D’souza, D., Kreutzer, J., Lignos, C., Palen-Michel, C., Buzaaba, H., Rijhwani, S., Ruder, S., Mayhew, S., Azime, I. A., Muhammad, S. H., Emezue, C. C., Nakatumba-Nabende, J., Ogayo, P., Anuoluwapo, A., Gitau, C., Mbaye, D., … Osei, S. (2021). MasakhaNER: Named Entity Recognition for African Languages. Transactions of the Association for Computational Linguistics, 9, 1116–1131. https://doi.org/10.1162/tacl_a_00416",MasakhaNER: Named Entity Recognition for African Languages,Practices less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: addresses NER gaps in African languages; D: curates datasets and evaluates models; C: mobilizes local annotators and practitioners,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences",Africa; NER; dataset; community annotator,Africa,Mixed,Africa,"Spoken Language Systems Group (LSV), Saarland University, Germany; Masakhane NLP","Retro Rabbit, South Africa; Language Technologies Institute, Carnegie Mellon University, United States; ProQuest, United States; Google Research, Canada; Brandeis University, United States; Graduate School of Systems and Information Engineering, University of Tsukuba, Japan; DeepMind, United Kingdom; Duolingo, United States; African Institute for Mathematical Sciences (AIMS-AMMI), Ethiopia; University of Porto, Nigeria; Bayero University, Kano, Nigeria; Technical University of Munich, Germany; Makerere University, Kampala, Uganda; African Leadership University, Rwanda; University of Lagos, Nigeria; Max Planck Institute for Informatics, Germany; LT Group, Universität Hamburg, Germany; University of Chinese Academy of Science, China; Lancaster University, United Kingdom; University of Electronic Science and Technology of China, China; United States International University - Africa (USIU-A), Kenya; Niger-Volta LTI; Luleo University of Technology, Sweden; African University of Science and Technology, Abuja, Nigeria; University of Ibadan, Nigeria; Namibia University of Science and Technology, Namibia; Instadeep, Nigeria; Jacobs University Bremen, Germany; University of Waterloo, Canada","Builds the first large, publicly available NER dataset for ten African languages. Mobilizes local corpora and annotators, and evaluates supervised and transfer learning models. Releases data, code, and models to catalyze research. Demonstrates community-driven dataset creation that addresses representation gaps while documenting persistent technical and resourcing challenges.",
"Adley et al., 2024","Adley, M., Alderson, H., Jackson, K., McGovern, W., Spencer, L., Addison, M., & O’Donnell, A. (2024). Ethical and practical considerations for including marginalised groups in quantitative survey research. International Journal of Social Research Methodology, 27(5), 559–574. https://doi.org/10.1080/13645579.2023.2228600  ",Ethical and practical considerations for including marginalised groups in quantitative survey research,Extractive,Ethics dumping in less-regulated contexts,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,DC,A: none; D: examines ethical data collection practices with vulnerable populations; C: addresses power dynamics and inclusion challenges for marginalized groups in research,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"survey research, marginalized groups, data collection ethics",EU/UK,Academic,EU/UK,"Population Health Sciences Institute, Faculty of Medical Science Newcastle University, Newcastle Upon Tyne, UK",,"Analyzes ethical and practical challenges of data collection with marginalized populations through focus group with researchers conducting surveys with substance users. Identifies themes around researcher positionality, study design, and ethics in practice. Advocates for participatory research design methods, meaningful involvement of target populations in study design, and responsive approaches by funders and ethics boards to integrate marginalized groups.",
"Agnew et al., 2024","Agnew, W., Bergman, A. S., Chien, J., Díaz, M., El-Sayed, S., Pittman, J., Mohamed, S., & McKee, K. R. (2024). The Illusion of Artificial Inclusion. Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems, 1–12. https://doi.org/10.1145/3613904.3642703 
",The Illusion of Artificial Inclusion,Extractive,Reproducing biases through synthetic data generation,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,AC,"A: analyzes proposals to replace human participants with AI surrogates; D: none; C: examines impacts on representation, inclusion, and understanding in research contexts","White (published journal papers, conference proceedings, books)",Database search,"synthetic data, human participation, representation",Not regionally specific,Mixed,North America,"Human-Computer Interaction Institute, Carnegie Mellon University, USA","Google DeepMind, United Kingdom; University of California, San Diego, USA; Google Research, USA; Stanford University, USA","Human participants play a central role in the development of modern artificial intelligence (AI) technology, in psychological science, and in user research. Recent advances in generative AI have attracted growing interest to the possibility of replacing human participants in these domains with AI surrogates. We survey several such “substitution proposals” to better understand the arguments for and against substituting human participants with modern generative AI. Our scoping review indicates that the recent wave of these proposals is motivated by goals such as reducing the costs of research and development work and increasing the diversity of collected data. However, these proposals ignore and ultimately conflict with foundational values of work with human participants: representation, inclusion, and understanding. This paper critically examines the principles and goals underlying human participation to help chart out paths for future work that truly centers and empowers participants.",
